能力,任务,题目,模型答案,知识点类型,知识点标题,知识点内容,知识点路径
任务规划,任务规划,"你是核心网运维工程师，你的任务是根据所有步骤名、当前步骤描述和当前步骤用于选择下一步分支的参数

已知所有步骤编号和步骤名为
步骤1：CloseLicense
步骤2：DeleteAddress
步骤3：DeleteInstance
步骤4：CheckInfo
步骤5：endNode
已知当前步骤描述为进行人工操作，按照顺序执行以下操作，关闭双活NRF容灾特性的License配置开关 => 步骤 2，删除双活NRF容灾实例通信地址信息 => 步骤 3，删除双活容灾实例 => 步骤 4，查询容灾配置信息，如果容灾配置信息已删除 => 步骤 5，如果容灾配置信息未删除 => 步骤 1。。其中每个“=>”后的内容为步骤编号，前面给出的步骤名一一对应。
已知当前步骤的输出为DeleteInstanceResult，用于选择下一步分支的参数定义为{'result':'容灾配置信息，取值范围{""已删除""，""未删除""}'}。

当下一步为诊断结束时，action请选择endNode。以JSON格式生成下一步的所有分支情况。","{
""branches"": [
{
""condition"": ""DeleteInstanceResult.result == '已删除'"",
""action"": ""步骤5""
},
{
""condition"": ""DeleteInstanceResult.result == '未删除'"",
""action"": ""步骤1""
}
]
}",处理步骤,描述双活NRF回退为单机NRF的具体操作步骤，包括解除双活NRF的容灾配置，删除双活NRF容灾实例通信地址信息，删除双活容灾实例和查询容灾配置信息。,操作步骤：1. NRF1和NRF2上分别执行解除NRF的双活容灾配置。1.1 进入“MML命令行-UNC”窗口。1.2 关闭双活NRF容灾特性的License配置开关。1.3 删除双活NRF容灾实例通信地址信息。1.4 删除双活容灾实例。1.5 查询容灾配置信息，确保容灾配置信息已删除。,网络部署/业务专题/5G Core NRF解决方案/NRF功能部署/5G独立部署/NRF单层容灾组网/NRF解决方案基本功能配置实例（NRF双活容灾+ NF注册/更新/去注册、NF订阅/通知+NF发现）/新建场景/2个单机改造双活场景/zh-cn_opi_0296491554.html
任务规划,任务规划,"你是核心网运维工程师，你的任务是根据所有步骤名、当前步骤描述和当前步骤用于选择下一步分支的参数

已知所有步骤编号和步骤名为
步骤1：OpenUNCWindow
步骤2：TurnOnSGSN
步骤3：TurnOnPCU
步骤4：TurnOnLicense
步骤5：CheckResult
已知当前步骤描述为打开“MML命令行-UNC”窗口，然后打开SGSN功能控制开关，参数“SPTSPCSRVEXT”（2G支持特殊业务类型扩展头）固定选择“SUPPORT”（支持）。接着打开PCU功能控制开关，参数“SPECSRV”（是否支持特殊业务类型）固定选择“YES”（是）。最后打开本特性的License配置开关，然后检查是否激活成功。是=>诊断成功，任务结束。否=>步骤 5。。其中每个“=>”后的内容为步骤编号，前面给出的步骤名一一对应。
已知当前步骤的输出为TurnOnLicenseResult，用于选择下一步分支的参数定义为{'activation': '是否激活成功，取值范围{""是""，""否""}'}。

当下一步为诊断结束时，action请选择endNode。以JSON格式生成下一步的所有分支情况。","[
{""action"": ""endNode"", ""parameter"": {""activation"": ""是""}},
{""action"": ""CheckResult"", ""parameter"": {""activation"": ""否""}}
]",处理步骤,描述激活IM类业务无线资源管控功能的具体操作步骤。,1. 进入“MML命令行-UNC”窗口。2. 打开SGSN功能控制开关。参数“SPTSPCSRVEXT”（2G支持特殊业务类型扩展头）固定选择“SUPPORT”（支持）。3. 打开PCU功能控制开关。参数“SPECSRV”（是否支持特殊业务类型）固定选择“YES”（是）。4. 打开本特性的License配置开关。,网络部署/特性部署/UNC特性指南/差异化服务管理/WSFD-106305 IM类业务资源管控/unc_2000_feature_om_radio_resource_management_optimization_of_im_service.html
任务规划,任务规划,"你是核心网运维工程师，你的任务是根据所有步骤名、当前步骤描述和当前步骤用于选择下一步分支的参数

已知所有步骤编号和步骤名为

步骤1：OpenDataNetwork
步骤2：UserOnlineCheck
步骤3：RuleActivationCheck
步骤4：QosParameterCheck
步骤5：UserQosContextCheck
步骤6：BusinessExperienceCheck
步骤7：EndNode
已知当前步骤描述为进行人工操作，依次检查用户是否上线，UNC（SMF）本地规则名是否已成功激活，UNC（SMF）激活的规则中QoS参数是否与本地配置一致，UPF用户QoS上下文是否正常。完成所有步骤后 => 步骤 7。其中每个“=>”后的内容为步骤编号，前面给出的步骤名一一对应。
已知当前步骤的输出为OpenDataNetworkResult，用于选择下一步分支的参数定义为{""result"":""用户状态，取值范围{""正常""，""异常""}""}。

当下一步为诊断结束时，action请选择endNode。以JSON格式生成下一步的所有分支情况。","{
  ""branches"": [
    {
      ""condition"": {
        ""parameter"": ""OpenDataNetworkResult"",
        ""value"": ""正常""
      },
      ""action"": {
        ""step"": ""UserOnlineCheck""
      }
    },
    {
      ""condition"": {
        ""parameter"": ""OpenDataNetworkResult"",
        ""value"": ""异常""
      },
      ""action"": {
        ""step"": ""EndNode""
      }
    }
  ]
}",处理步骤,介绍5G PCC策略的快速调测方法，包括调测说明，必备事项以及详细的调测步骤,"调测说明
快速调测提供了一种能快捷、直观判断PCC策略配置、下发与执行是否符合3GPP协议要求及华为UNC/UDG定义的策略逻辑的方法。
必备事项
前提条件
已参考[本地PCC策略配置](zh-cn_topic_0000001162415085.html)完成本地规则的配置。
终端用户已在UDM完成开户签约。
已参考[调测原则](zh-cn_topic_0000001120714788.html)了解网元调测关键点。
数据
该操作无需准备数据。
工具
无。
调测步骤
1. 打开终端“移动数据网络”，使用户上线。
2. 用户上线后，检查UNC（SMF）本地规则名是否在UNC（SMF）侧已成功激活。
3. 保持用户会话在线，继续查询UNC（SMF）激活的规则中QoS参数是否与本地配置一致。
4. 检查UPF用户QoS上下文。
5. （非必选）检查终端业务实际体验与原始需求保持一致。",网络部署/业务专题/5G PCC之SM策略解决方案/SM策略配置与调测/业务调测方法/本地PCC策略调测/zh-cn_topic_0000001121200422.html
任务规划,任务规划,"你是核心网运维工程师，你的任务是根据所有步骤名、当前步骤描述和当前步骤用于选择下一步分支的参数

已知所有步骤编号和步骤名为
步骤1：InitiateNetworkSwitch
步骤2：AMFQueriesSMF
步骤3：AMFTransfersPGWInfo
步骤4：MMEQueriesDNS
步骤5：EndNetworkSwitch
已知当前步骤描述为进行网络切换操作，首先AMF需要查询和发现可用的SMF，然后AMF将PGW FQDN和PGW-C S5接口地址传递给MME。如果MME需要通过查询PGW-C的FQDN而获取PGW-C的拓扑信息，从而选择和PGW-C最近的SGW-C，则需要向DNS Server发起查询。查询成功 => 诊断成功，任务结束。查询失败 => 2。。其中每个“=>”后的内容为步骤编号，前面给出的步骤名一一对应。
已知当前步骤的输出为MMEQueriesDNSResult，用于选择下一步分支的参数定义为{""isQuerySuccess"":""查询是否成功，取值范围{""是""，""否""}""}。

当下一步为诊断结束时，action请选择endNode。以JSON格式生成下一步的所有分支情况。","[
  {
    ""stepId"": ""步骤5"",
    ""stepName"": ""EndNetworkSwitch"",
    ""action"": ""endNode"",
    ""conditions"": [
      {
        ""parameterId"": ""isQuerySuccess"",
        ""operator"": ""equal"",
        ""value"": ""是""
      }
    ]
  },
  {
    ""stepId"": ""步骤2"",
    ""stepName"": ""AMFQueriesSMF"",
    ""action"": ""branch"",
    ""conditions"": [
      {
        ""parameterId"": ""isQuerySuccess"",
        ""operator"": ""equal"",
        ""value"": ""否""
      }
    ]
  }
]",具体案例,在用户在5G网络注册后续切换/重选到4G网络的场景下，描述了AMF和MME如何通过NRF和DNS获取和传递融合SMF+PGW-C的信息，从而实现用户的网络切换。,如果用户初始是在5G网络注册后续切换/重选到4G网络，通过如下流程来实现。1. AMF从NRF查询和发现可用的SMF。2. 当该用户从5G网络切换或者重选到LTE网络，AMF会将PGW FQDN和PGW-C S5接口地址传递给MME。3. 如果MME希望通过查询PGW-C的FQDN而获取PGW-C的拓扑信息，从而选择和PGW-C最近的SGW-C，会向DNS Server发起查询。,5G基础知识/一望5G/5G Core业务解决方案解读：4G&5G互操作/4G/5G互操作/4G/5G互操作实现原理关键点/zh-cn_topic_0000001086009554.html
任务规划,任务规划,"你是核心网运维工程师，你的任务是根据所有步骤名、当前步骤描述和当前步骤用于选择下一步分支的参数

已知所有步骤编号和步骤名为
步骤1：MMLCommandWindow
步骤2：UDMDataConfiguration
步骤3：PCFDataConfiguration
步骤4：CHFDataConfiguration
步骤5：AMFDataConfiguration
步骤6：EndConfiguration
已知当前步骤描述为进行人工操作，配置到UDM的数据，如果配置成功，继续进行PCF的数据配置。是 => 3，否 => 6。配置到PCF的数据，如果配置成功，继续进行CHF的数据配置。是 => 4，否 => 6。配置到CHF的数据，如果配置成功，继续进行AMF的数据配置。是 => 5，否 => 6。配置到AMF的数据，如果配置成功，诊断结束。是 => 6，否 => 6。。其中每个“=>”后的内容为步骤编号，前面给出的步骤名一一对应。
已知当前步骤的输出为UDMDataConfigurationResult, PCFDataConfigurationResult, CHFDataConfigurationResult, AMFDataConfigurationResult，用于选择下一步分支的参数定义为{""isDataConfigurationSuccessful"":""数据配置是否成功，取值范围{""是""，""否""}""}。

当下一步为诊断结束时，action请选择endNode。以JSON格式生成下一步的所有分支情况。","{
  ""MMLCommandWindow"": {
    ""nextStep"": {
      ""是"": {
        ""action"": ""branch"",
        ""parameter"": ""UDMDataConfigurationResult"",
        ""description"": ""配置到UDM的数据，如果配置成功，继续进行PCF的数据配置。"",
        ""value"": ""是""
      },
      ""否"": {
        ""action"": ""endNode"",
        ""parameter"": ""UDMDataConfigurationResult"",
        ""description"": ""配置到UDM的数据，如果配置失败，诊断结束。"",
        ""value"": ""否""
      }
    }
  },
  ""UDMDataConfiguration"": {
    ""nextStep"": {
      ""是"": {
        ""action"": ""branch"",
        ""parameter"": ""PCFDataConfigurationResult"",
        ""description"": ""配置到PCF的数据，如果配置成功，继续进行CHF的数据配置。"",
        ""value"": ""是""
      },
      ""否"": {
        ""action"": ""endNode"",
        ""parameter"": ""PCFDataConfigurationResult"",
        ""description"": ""配置到PCF的数据，如果配置失败，诊断结束。"",
        ""value"": ""否""
      }
    }
  },
  ""PCFDataConfiguration"": {
    ""nextStep"": {
      ""是"": {
        ""action"": ""branch"",
        ""parameter"": ""CHFDataConfigurationResult"",
        ""description"": ""配置到CHF的数据，如果配置成功，继续进行AMF的数据配置。"",
        ""value"": ""是""
      },
      ""否"": {
        ""action"": ""endNode"",
        ""parameter"": ""CHFDataConfigurationResult"",
        ""description"": ""配置到CHF的数据，如果配置失败，诊断结束。"",
        ""value"": ""否""
      }
    }
  },
  ""CHFDataConfiguration"": {
    ""nextStep"": {
      ""是"": {
        ""action"": ""branch"",
        ""parameter"": ""AMFDataConfigurationResult"",
        ""description"": ""配置到AMF的数据，如果配置成功，诊断结束。"",
        ""value"": ""是""
      },
      ""否"": {
        ""action"": ""endNode"",
        ""parameter"": ""AMFDataConfigurationResult"",
        ""description"": ""配置到AMF的数据，如果配置失败，诊断结束。"",
        ""value"": ""否""
      }
    }
  },
  ""AMFDataConfiguration"": {
    ""nextStep"": {
      ""是"": {
        ""action"": ""endNode"",
        ""parameter"": ""isDataConfigurationSuccessful"",
        ""description"": ""所有数据配置成功，诊断结束。"",
        ""value"": ""是""
      },
      ""否"": {
        ""action"": ""endNode"",
        ""parameter"": ""isDataConfigurationSuccessful"",
        ""description"": ""配置到AMF的数据，如果配置失败，诊断结束。"",
        ""value"": ""否""
      }
    }
  }
}",处理步骤,在5G融合组网对接配置中，配置本地NRF的操作步骤包括进入MML命令行-UNC窗口，配置到UDM的数据，配置到PCF的数据，配置到CHF的数据，配置到AMF的数据等步骤。,"操作步骤

进入“MML命令行-UNC”窗口。
配置到UDM的数据，包括UDM的Profile、Service、PLMN信息、支持的SUPI范围等信息。
配置到PCF的数据，包括PCF的Profile、Service、PLMN信息、支持的SUPI范围等信息。
配置到CHF的数据，包括CHF的Profile、Service、支持的SUPI范围等信息。
配置到AMF的数据，包括AMF的Profile、Service、PLMN等信息。",网络部署/初始配置/UNC初始配置与调测/2/3/4/5G融合组网对接配置/配置SMF+GW-C/unc_2000_init_smf_047.html
任务规划,任务规划,"你是核心网运维工程师，你的任务是根据所有步骤名、当前步骤描述和当前步骤用于选择下一步分支的参数

已知所有步骤编号和步骤名为

步骤1：ConditionalGateway0
步骤2：AuthenticationCheck1
步骤3：AuthenticationCheck2
步骤4：AuthenticationCheck3
步骤5：AuthenticationCheck4
步骤6：AuthenticationCheck5
步骤7：AuthenticationCheck6
步骤8：informationCollection7
已知当前步骤描述为进行指定N12接口的AUSF向AMF返回的鉴权成功次数的检查，如果鉴权成功次数稳定，说明鉴权成功率正常，=>诊断成功，任务结束。否则=>步骤 8。。其中每个“=>”后的内容为步骤编号，前面给出的步骤名一一对应。
已知当前步骤的输出为AuthenticationCheck6Result，用于选择下一步分支的参数定义为{""success"":""鉴权成功次数的状态，取值范围{""稳定""，""波动""}""}。

当下一步为诊断结束时，action请选择endNode。以JSON格式生成下一步的所有分支情况。","{
  ""branches"": [
    {
      ""condition"": ""AuthenticationCheck6Result.success == '稳定'"",
      ""action"": ""endNode""
    },
    {
      ""condition"": ""AuthenticationCheck6Result.success == '波动'"",
      ""action"": ""informationCollection7""
    }
  ]
}",概念介绍,介绍在AMF N12接口测量中，指定N12接口的AUSF向AMF返回的鉴权成功次数的含义、单位、测量点、测量类型和计算公式，以及相关的说明。,"含义：指定N12接口的AUSF向AMF返回的鉴权成功次数。
单位：次
测量点：AMF发送HTTP POST请求消息，请求针对AUSF的“ue-authentications”资源URI发起“POST”标准操作，AMF收到AUSF返回的响应消息，其中HTTP Status Code=201 Created。（3GPP TS 29.509）。
测量类型：当统计周期时间大于采集周期时，取统计周期内采集周期的累加值。
计算公式：无 
相关说明：如果该指标出现波动，请查看鉴权成功率指标是否下降。如果是则查看鉴权失败原因后具体分析。",OM参考/性能指标/业务性能指标/业务性能指标/AMF/SMF/GW-C/NRF/NSSF/SMSF/NCG业务性能指标/服务化接口测量/指定局向的AMF N12接口测量/1929480578.html
任务规划,任务规划,"你是核心网运维工程师，你的任务是根据所有步骤名、当前步骤描述和当前步骤用于选择下一步分支的参数

已知所有步骤编号和步骤名为

步骤1：OpenDeviceArchive
步骤2：SelectElement
步骤3：SyncToDevice
步骤4：DownloadToLocal
步骤5：ViewSavedFile
步骤6：SelectElement2
步骤7：ShowFileList
步骤8：ViewFileDetails
已知当前步骤描述为打开“设备档案采集”窗口，选择需要收集设备信息的网元。同步设备档案文件至U2020/MAE服务器，下载网元设备档案文件至本地客户端。查看U2020/MAE服务器上已经保存的设备档案文件。选择需要收集设备信息的网元，显示文件列表，查看“网元名称”、“导出时间”、“文件名称”。是=>诊断成功，任务结束。否=>步骤 8。。其中每个“=>”后的内容为步骤编号，前面给出的步骤名一一对应。
已知当前步骤的输出为ShowFileListResult，用于选择下一步分支的参数定义为{""success"":""操作结果，取值范围{""成功"",""失败""}""}。

当下一步为诊断结束时，action请选择endNode。以JSON格式生成下一步的所有分支情况。","{
""nextStep"": [
{
""action"": ""endNode"",
""output"": {
""success"": ""成功""
}
},
{
""action"": ""步骤8"",
""output"": {
""success"": ""失败""
}
}
]
}",处理步骤,描述如何使用U2020/MAE上的设备档案功能实现设备资产信息的收集和上报的步骤,"操作步骤

在主菜单中选择“配置 > 设备档案”，打开“设备档案采集”窗口。
根据用户需求，在左侧导航树中，选择需要收集设备信息的网元。从网元同步设备档案文件至U2020/MAE服务器，从U2020/MAE服务器下载网元设备档案文件至本地客户端。
根据用户需求，查看U2020/MAE服务器上已经保存的设备档案文件。
在左侧导航树中，选择需要收集设备信息的网元。
单击“显示文件列表”。在右侧区域显示“网元名称”、“导出时间”、“文件名称”。",网络运维/日常维护/UNC基础运维操作/zh-cn_topic_0259951517.html
任务规划,任务规划,"你是核心网运维工程师，你的任务是根据所有步骤名、当前步骤描述和当前步骤用于选择下一步分支的参数

已知所有步骤编号和步骤名为
步骤1：LST_APNACCESSCTRL
步骤2：DSP_SMSESSIONNUM
步骤3：SET_APNACCESSCTRL
步骤4：Check_Alarm
已知当前步骤描述为执行命令LST APNACCESSCTRL查询UNC配置的最大PDP数目是否合理，是 => 2，否 => 3。执行命令DSP SMSESSIONNUM查询当前APN下的会话上下文数是否大于配置最大值，是 => 3，否 => 4。执行命令SET APNACCESSCTRL调整最大PDP数目，使其符合现网部署规划。当APN下的PDP上下文数低于配置设置的“最大PDP数目”的99%时，查看告警是否恢复。是 => 诊断成功，任务结束。否 => 1。。其中每个“=>”后的内容为步骤编号，前面给出的步骤名一一对应。
已知当前步骤的输出为Check_Alarm_Result，用于选择下一步分支的参数定义为{""isAlarmClear"":""告警是否清除，取值范围{""是""，""否""}""}。

当下一步为诊断结束时，action请选择endNode。以JSON格式生成下一步的所有分支情况。","{
""branches"": [
{
""condition"": {
""isAlarmClear"": ""是""
},
""action"": ""endNode"",
""description"": ""诊断成功，任务结束""
},
{
""condition"": {
""isAlarmClear"": ""否""
},
""action"": ""步骤1"",
""description"": ""LST_APNACCESSCTRL""
}
]
}",处理步骤,给出处理ALM-100314 APN最大PDP数流控告警的具体步骤和操作命令,处理步骤：1. 执行命令LST APNACCESSCTRL查询UNC配置的最大PDP数目是否合理，是否参考现网部署规划设置。2. 执行命令DSP SMSESSIONNUM查询当前APN下的会话上下文数是否大于配置最大值。3. 执行命令SET APNACCESSCTRL调整最大PDP数目。使其符合现网部署规划。当APN下的PDP上下文数低于配置设置的“最大PDP数目”的99%时，查看告警是否恢复。,网络运维/故障处理/UNC告警处理/业务告警/SMF&GW-C&GGSN/100314.html
任务规划,任务规划,"你是核心网运维工程师，你的任务是根据所有步骤名、当前步骤描述和当前步骤用于选择下一步分支的参数

已知所有步骤编号和步骤名为
步骤1：CheckSwitch
步骤2：ExecuteCommand
步骤3：CheckEffect
步骤4：BatchDereg
步骤5：endNode
已知当前步骤描述为检查SET NSMAPPARA中本地映射开关参数是否为“ON(打开)”，如果为“ON(打开)” => 步骤 2，否则 => 步骤 5。在步骤2中执行增加漫游切片映射配置命令，然后 => 步骤 3。在步骤3中检查是否对已注册用户立即生效，如果立即生效 => 步骤 5，否则 => 步骤 4。在步骤4中执行STR NGUSRBATCHDEREG命令对漫游用户启动批量去注册任务，并指定去注册类型为需要重新注册，然后 => 步骤 5。。其中每个“=>”后的内容为步骤编号，前面给出的步骤名一一对应。
已知当前步骤的输出为CheckSwitchResult、ExecuteCommandResult、CheckEffectResult、BatchDeregResult，用于选择下一步分支的参数定义为CheckSwitchResult定义为{""switch_status"":""SET NSMAPPARA中本地映射开关参数状态，取值范围{""ON""，""OFF""}""}
ExecuteCommandResult定义为{""command_status"":""增加漫游切片映射配置命令执行状态，取值范围{""成功""，""失败""}""}
CheckEffectResult定义为{""effect_status"":""检查是否对已注册用户立即生效，取值范围{""立即生效""，""不立即生效""}""}
BatchDeregResult定义为{""dereg_status"":""执行STR NGUSRBATCHDEREG命令对漫游用户启动批量去注册任务的状态，取值范围{""成功""，""失败""}""}。

当下一步为诊断结束时，action请选择endNode。以JSON格式生成下一步的所有分支情况。","[
  {
    ""current_step"": ""CheckSwitch"",
    ""next_step"": {
      ""switch_status"":""ON"",
      ""next_node"": ""ExecuteCommand""
    },
    ""action"": ""CheckSwitch"",
    ""output"": ""CheckSwitchResult""
  },
  {
    ""current_step"": ""CheckSwitch"",
    ""next_step"": {
      ""switch_status"":""OFF"",
      ""next_node"": ""endNode""
    },
    ""action"": ""CheckSwitch"",
    ""output"": ""CheckSwitchResult""
  },
  {
    ""current_step"": ""ExecuteCommand"",
    ""next_step"": {
      ""command_status"":""成功"",
      ""next_node"": ""CheckEffect""
    },
    ""action"": ""ExecuteCommand"",
    ""output"": ""ExecuteCommandResult""
  },
  {
    ""current_step"": ""ExecuteCommand"",
    ""next_step"": {
      ""command_status"":""失败"",
      ""next_node"": ""endNode""
    },
    ""action"": ""ExecuteCommand"",
    ""output"": ""ExecuteCommandResult""
  },
  {
    ""current_step"": ""CheckEffect"",
    ""next_step"": {
      ""effect_status"":""立即生效"",
      ""next_node"": ""endNode""
    },
    ""action"": ""CheckEffect"",
    ""output"": ""CheckEffectResult""
  },
  {
    ""current_step"": ""CheckEffect"",
    ""next_step"": {
      ""effect_status"":""不立即生效"",
      ""next_node"": ""BatchDereg""
    },
    ""action"": ""CheckEffect"",
    ""output"": ""CheckEffectResult""
  },
  {
    ""current_step"": ""BatchDereg"",
    ""next_step"": {
      ""dereg_status"":""成功"",
      ""next_node"": ""endNode""
    },
    ""action"": ""BatchDereg"",
    ""output"": ""BatchDeregResult""
  },
  {
    ""current_step"": ""BatchDereg"",
    ""next_step"": {
      ""dereg_status"":""失败"",
      ""next_node"": ""endNode""
    },
    ""action"": ""BatchDereg"",
    ""output"": ""BatchDeregResult""
  }
]",处理步骤,在使用增加漫游切片映射配置命令时，需要注意的事项,"该命令执行后立即生效。

最多可输入8192条记录。

当SET NSMAPPARA中本地映射开关参数设置为“ON(打开)”，AMF判断不能为UE提供需要的切片映射服务时，仍会发起到NSSF的网络切片映射服务。

增加漫游切片映射配置时，对已注册用户不会立即生效。如果需要立即生效，请先执行STR NGUSRBATCHDEREG命令对漫游用户启动批量去注册任务，并指定去注册类型为需要重新注册，触发用户重新注册，获取最新切片映射关系。",OM参考/命令/UNC MML命令/业务服务管理/5G接入业务管理/移动性管理/网络切片映射管理/AMF网络切片映射配置管理/add_amfroamnsmap.html
任务规划,任务规划,"你是核心网运维工程师，你的任务是根据所有步骤名、当前步骤描述和当前步骤用于选择下一步分支的参数

已知所有步骤编号和步骤名为
	步骤1：IdentityCheck0
	步骤2：IdentityCheck1
	步骤3：IdentityCheck2
	步骤4：IdentityCheck3
	步骤5：IdentityCheck4
	步骤6：IdentityCheck5
	步骤7：IdentityCheck6
	步骤8：IdentityCheck7
	步骤9：informationCollection8
已知当前步骤描述为进行AMF操作，根据告警参数“5G-GUTI”和“SUCI”，检查该UE是否已注册到网络，并确认是否需要进行二次鉴权或获取UE的PEI。已注册且不需要二次鉴权 => 2。已注册但需要二次鉴权 => 4。已注册但需要获取PEI => 6。未注册 => 8。。其中每个“=>”后的内容为步骤编号，前面给出的步骤名一一对应。
已知当前步骤的输出为IdentityCheck0Result，用于选择下一步分支的参数定义为{""regStatus"":""UE是否已注册到网络，取值范围{""已注册""，""未注册""}"", ""authReq"":""是否需要二次鉴权，取值范围{""需要""，""不需要""}"", ""peiReq"":""是否需要获取PEI，取值范围{""需要""，""不需要""}""}。

当下一步为诊断结束时，action请选择endNode。以JSON格式生成下一步的所有分支情况。","{
  ""IdentityCheck0Result"": [
    {
      ""condition"": {
        ""regStatus"": ""已注册"",
        ""authReq"": ""不需要"",
        ""peiReq"": ""不需要""
      },
      ""action"": {
        ""nextStep"": 2
      }
    },
    {
      ""condition"": {
        ""regStatus"": ""已注册"",
        ""authReq"": ""需要"",
        ""peiReq"": ""不需要""
      },
      ""action"": {
        ""nextStep"": 4
      }
    },
    {
      ""condition"": {
        ""regStatus"": ""已注册"",
        ""authReq"": ""不需要"",
        ""peiReq"": ""需要""
      },
      ""action"": {
        ""nextStep"": 6
      }
    },
    {
      ""condition"": {
        ""regStatus"": ""未注册""
      },
      ""action"": {
        ""nextStep"": 8
      }
    }
  ]
}",事实陈述,列举了5G网络中的身份识别功能特性的几种应用场景。,"当UE以5G-GUTI注册到网络且首次鉴权失败时，AMF向UE发送身份识别请求以获取UE的SUCI，然后进行二次鉴权。
当UE以5G-GUTI注册到网络且AMF无法识别该5G-GUTI时，AMF向UE发送身份识别请求以获取UE的SUCI。
当UE以5G-GUTI注册到网络且AMF需要获取UE的PEI时，AMF向UE发送身份标识请求以获取UE的PEI。",网络部署/特性部署/UNC特性指南/安全管理功能/WSFD-010304 身份识别功能/身份识别功能（5G）/unc_2000_feature_desc_5g_identity_check.html
格式遵从,参数提取,"请根据<参数描述>提取出<用户问题>中对应参数的值

<用户问题>：
我正在进行M2M长周期性定时器的操作，现在我已经进入到了“MML命令行-UNC”窗口，我需要在UNC上创建用户跟踪。接下来我得到了IMSI为“460036500000002”的M2M终端的MM上下文，显示的“使用的周期RAU-TAU定时器（分钟）”为720分钟（12小时）。我想确认我是否正在正确操作。
<参数描述>：
<名称>：window
<描述>: 当前正在使用的窗口
<类型>: string

<名称>：UNC_trace
<描述>: 是否在UNC上创建了用户跟踪
<类型>: boolean

<名称>：IMSI
<描述>: M2M终端的IMSI
<类型>: string

<名称>：RAU_TAU_timer
<描述>: 使用的周期RAU-TAU定时器的时长（分钟）
<类型>: integer

以JSON格式{""参数名称"":""参数值"",...}输出。","{""window"": ""MML命令行-UNC"", ""UNC_trace"": true, ""IMSI"": ""460036500000002"", ""RAU_TAU_timer"": 720}",处理步骤,详细介绍了如何在运行网络中调测M2M长周期性定时器的具体步骤,"在相关网元均完成本特性的配置后，可以采用以下步骤检查特性工作是否正常：

本验证方法的预置条件：系统配置了针对指定IMSI前缀“46003”的长周期定时器，定时时长为12小时。

1. 进入“MML命令行-UNC”窗口。
2. 在UNC上创建用户跟踪。
3. 终端开机、附着到网络。
4. 执行下述命令，观察IMSI为“460036500000002”的M2M终端的MM上下文。

DSP COMMMCTX: QUERYOPT=BYIMSI, IMSI=""460036500000002"";

预期结果：观察到“使用的周期RAU-TAU定时器（分钟）”为720分钟（12小时）。

5. 观察用户跟踪。

预期结果：

对于4G M2M终端，UNC通过Attach Accept消息携带信元t3412-extended-value下发给终端。

对于2G/3G M2M终端，UNC通过Attach Accept消息携带信元t3312-extended-value下发给终端。",网络部署/特性部署/UNC特性指南/NB-IOT业务功能/WSFD-011602 支持M2M长周期性定时器/unc_2110_feature_om_extended_periodic_timer_for_m2m01.html
格式遵从,参数提取,"请根据<参数描述>提取出<用户问题>中对应参数的值

<用户问题>：
在身份识别流程中，通过MOD IUAUTHCIPH和MOD GBAUTHCIPH设置，对3G和2G网络强制进行身份识别，当手机用户使用P-TMSI附着，且没有发生过SGSN改变时，发送Identity Request消息。请问身份识别流程是如何进行的？
<参数描述>：
<名称>:triggerEvent
<描述>:触发身份识别流程的事件
<类型>:string

<名称>:authCommands
<描述>:用于设置身份识别的命令
<类型>:string

<名称>:networkType
<描述>:网络类型
<类型>:string

<名称>:userStatus
<描述>:用户状态
<类型>:string

<名称>:identityMsg
<描述>:身份识别流程涉及的消息类型
<类型>:string

以JSON格式{""参数名称"":""参数值"",...}输出。","{""triggerEvent"": ""手机用户使用P-TMSI附着，且没有发生过SGSN改变"", ""authCommands"": ""MOD IUAUTHCIPH和MOD GBAUTHCIPH"", ""networkType"": ""3G和2G"", ""userStatus"": ""没有发生过SGSN改变"", ""identityMsg"": ""Identity Request""}",处理步骤,详细介绍了身份识别流程，包括触发身份识别流程的情形和身份识别流程的具体步骤。,触发身份识别流程的情形：SGSN通过命令MOD IUAUTHCIPH和MOD GBAUTHCIPH设置分别对3G和2G网络强制进行身份识别，当手机用户使用P-TMSI附着，且没有发生过SGSN改变时，发送Identity Request消息。身份识别流程：1. SGSN向MS发送身份标识请求消息Identity Request。2. MS收到Identity Request请求后，通过发送网络身份标识响应消息Identity Response，将用户的身份信息（IMSI、IMEI、IMEISV）发送到SGSN。,网络部署/特性部署/UNC特性指南/安全管理功能/WSFD-010304 身份识别功能/身份识别功能（2G&3G）/unc_2010_feature_desc_identity_check_01.html
